County Name,Net Enrollment Rate Both Sexes,Net Enrollment Male,Net Enrollment Female,Adult Literacy Rate,GDP per capita,GNI per capita,Internet Users,population 15-64 female,Population female,population 15-64 male,Population male,population 15-64 total,Population total,
Ghana,89.31228638,89.15013123,89.48120117,,1432.227943,3890,25.51773743,7912767,13562832,7621859,13399731,15534587,26962563,-11427976
Gibraltar,,,,,,,,,,,,,34038,-34038
Greece,96.28167725,96.56871796,95.9801712,,21760.9798,26490,63.21,3563448,5528491,3599040,5363922,7162507,10892413,-3729906
Greenland,,,,,45317.11429,,66.7,,,,,,56295,-56295
Grenada,97.33255005,97.41934967,97.24117279,,8569.776998,12220,51.6,34748,53042,35740,53318,70485,106360,-35875
Guam,,,,,34361.08022,,69.27,51689,79354,53922,81613,105611,160967,-55356
Guatemala,88.9645462,89.06153107,88.86421204,81.2859,3687.763767,7330,23.4,4832134,8092461,4514353,7831098,9346487,15923559,-6577072
Guinea,78.01779938,83.6918335,72.24021912,32.00386,744.6823178,1730,6.4,3185450,5891446,3200200,5914063,6385656,11805509,-5419853
Guinea-Bissau,,,,45.58116,611.4384267,1540,3.32,489626,877836,464788,847908,954416,1725744,-771328
Guyana,,,,85.63973,4031.532007,7220,32,246344,379485,247929,383908,494272,763393,-269121
Haiti,,,,,830.1148117,1750,11.4,3299449,5343654,3177603,5228812,6477057,10572466,-4095409
Honduras,94.87908173,94.60671234,95.16148376,87.19753,2242.707459,4090,19.08,2753459,4418009,2706435,4391207,5459894,8809216,-3349322
"Hong Kong SAR, China",,,,,40247.36691,56660,79.86627043,2933367,3885603,2442981,3356097,5376335,7241700,-1865365
Hungary,95.88162231,95.86749268,95.89650726,,14201.44883,24430,75.65319745,3418022,5178828,3329615,4687640,6747667,9866468,-3118801
Iceland,,,,,52473.11356,43560,98.16,107140,163026,109881,164360,217019,327386,-110367
India,,,,,1573.118089,5610,21,407598841,623063359,438414160,670795935,846013020,1293859294,-447846274
Indonesia,92.88332367,93.36312866,92.37377167,95.11622,3491.595887,10180,17.14,84448974,126574773,86096239,128556343,170545175,255131116,-84585941
"Iran, Islamic Rep.",99.34346771,,,84.70524,5540.984136,17880,39.35,28058736,38923852,28017192,39487240,56075715,78411092,-22335377
Iraq,,,,,6703.074737,15410,13.21,9758702,17296181,9866152,17709899,19624851,35006080,-15381229
Ireland,98.92880249,98.27928925,99.61701202,,55899.16348,43660,79.69,1522269,2325925,1507074,2291300,3029345,4617225,-1587880
Isle of Man,,,,,89941.64429,,,,,,,,82590,-82590
Israel,97.06532288,96.78489685,97.36096954,,37539.95182,34640,75.01775316,2525623,4144596,2500723,4071104,5026349,8215700,-3189351
Italy,99.27877045,99.52796173,99.01555634,,35396.66572,36300,55.63846022,19534832,31219344,19500488,29569796,39035661,60789140,-21753479
